date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:50:23	1903/1903	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Apr%202025%2007:57:10%20GMT	https://iamosahan.com/robots.txt		(from )
14:50:23	74473/74473	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20May%202024%2008:30:41%20GMT	https://iamosahan.com/wrapbootstrap-pillarix/nonprofitx/	C:/My%20Web%20Sites/rayan/iamosahan.com/wrapbootstrap-pillarix/nonprofitx/index.html	(from )
14:50:24	19903/19903	---M--	200	added ('OK')	image/png	etag:%224dbf-66486731-17bcac364b261c5c;;;%22	https://iamosahan.com/wrapbootstrap-pillarix/nonprofitx/img/pages/icon.png	C:/My%20Web%20Sites/rayan/iamosahan.com/wrapbootstrap-pillarix/nonprofitx/img/pages/icon.png	(from https://iamosahan.com/wrapbootstrap-pillarix/nonprofitx/)
14:50:24	220780/220780	---MCZ	200	added ('OK')	text/css	etag:W/%2235e6c-66486731-d1ba4fb705a7ffa2;br%22	https://iamosahan.com/wrapbootstrap-pillarix/nonprofitx/vender/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/rayan/iamosahan.com/wrapbootstrap-pillarix/nonprofitx/vender/bootstrap/css/bootstrap.min.css	(from https://iamosahan.com/wrapbootstrap-pillarix/nonprofitx/)
14:50:24	111327/111327	---MCZ	200	added ('OK')	text/css	etag:W/%221b2df-66486731-7d19f4f7cbf23834;br%22	https://iamosahan.com/wrapbootstrap-pillarix/nonprofitx/vender/icofont/icofont.min.css	C:/My%20Web%20Sites/rayan/iamosahan.com/wrapbootstrap-pillarix/nonprofitx/vender/icofont/icofont.min.css	(from https://iamosahan.com/wrapbootstrap-pillarix/nonprofitx/)
14:50:24	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%2265c5-66486731-db1b6a1e333deb8d;br%22	https://iamosahan.com/wrapbootstrap-pillarix/nonprofitx/vender/aos/dist/aos.css	C:/My%20Web%20Sites/rayan/iamosahan.com/wrapbootstrap-pillarix/nonprofitx/vender/aos/dist/aos.css	(from https://iamosahan.com/wrapbootstrap-pillarix/nonprofitx/)
14:50:24	120730/120730	---MCZ	200	added ('OK')	text/css	etag:W/%221d79a-66486731-eb6ce64ceb667a3e;br%22	https://iamosahan.com/wrapbootstrap-pillarix/nonprofitx/vender/remixicon/remixicon.css	C:/My%20Web%20Sites/rayan/iamosahan.com/wrapbootstrap-pillarix/nonprofitx/vender/remixicon/remixicon.css	(from https://iamosahan.com/wrapbootstrap-pillarix/nonprofitx/)
14:50:25	4256/4256	---MCZ	200	added ('OK')	text/css	etag:W/%2210a0-66486731-91877b803b99e4d7;br%22	https://iamosahan.com/wrapbootstrap-pillarix/nonprofitx/css/style.css	C:/My%20Web%20Sites/rayan/iamosahan.com/wrapbootstrap-pillarix/nonprofitx/css/style.css	(from https://iamosahan.com/wrapbootstrap-pillarix/nonprofitx/)
14:50:25	6939/6939	---MCZ	200	added ('OK')	text/css	etag:W/%221b1b-66486731-54de009c5bfa1846;br%22	https://iamosahan.com/wrapbootstrap-pillarix/nonprofitx/css/common.css	C:/My%20Web%20Sites/rayan/iamosahan.com/wrapbootstrap-pillarix/nonprofitx/css/common.css	(from https://iamosahan.com/wrapbootstrap-pillarix/nonprofitx/)
14:50:26	74473/74473	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20May%202024%2008:30:41%20GMT	https://iamosahan.com/wrapbootstrap-pillarix/nonprofitx/index.html	C:/My%20Web%20Sites/rayan/iamosahan.com/wrapbootstrap-pillarix/nonprofitx/index-2.html	(from https://iamosahan.com/wrapbootstrap-pillarix/nonprofitx/)
14:50:26	61519/61519	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20May%202024%2008:30:41%20GMT	https://iamosahan.com/wrapbootstrap-pillarix/nonprofitx/about.html	C:/My%20Web%20Sites/rayan/iamosahan.com/wrapbootstrap-pillarix/nonprofitx/about.html	(from https://iamosahan.com/wrapbootstrap-pillarix/nonprofitx/)
14:50:26	63513/63513	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20May%202024%2008:30:41%20GMT	https://iamosahan.com/wrapbootstrap-pillarix/nonprofitx/projects.html	C:/My%20Web%20Sites/rayan/iamosahan.com/wrapbootstrap-pillarix/nonprofitx/projects.html	(from https://iamosahan.com/wrapbootstrap-pillarix/nonprofitx/)
